name,genre,gender,team_type,appearance_fee,billions_club_status,2billions_club_status,5billions_club_status,10billions_club_status,company_name,insta_followers,award_history,youtube_subscriber_count,youtube_views,recent_mv_upload_count,recent_mv_avg_view,grade
싸이(PSY),"랩/힙합, 댄스, 발라드",남,솔로,250000000,1,0,0,0,피네이션,4470000,44,19900000,12348126532,6,242575932,7
잔나비,"록/메탈, 인디음악, 국내드라마",남,그룹,50000000,1,0,0,0,페포니뮤직,468000,9,305000,715550047,18,424899,4
손진욱,"록/메탈, 댄스, 발라드",남,솔로,1500000,0,0,0,0,슈가레코드,6587,0,0,0,0,0,1
박민수,성인가요/트로트,남,솔로,1500000,0,0,0,0,뉴에라프로젝트,6407,2,0,0,0,0,1
경서,"발라드, 국내드라마, 록/메탈",여,솔로,9500000,0,0,0,0,꿈의엔진,56000,1,217000,375667174,0,196528,1
페노메코,"랩/힙합, R&B/Soul, 발라드",남,솔로,65500000,0,0,0,0,EGO GROUP,52,0,231000,87427513,13,825734,4
케이시,"발라드, 국내드라마, R&B/Soul",여,솔로,15000000,1,0,0,0,넥스타엔터테인먼트,96000,4,103000,390324630,0,39041,2
이진아,"재즈, 애시드/퓨전/팝, 발라드",여,솔로,14500000,0,0,0,0,인테나,58000,1,38900,10749694,0,57057,2
조유리,"국내드라마, 발라드, 댄스",여,솔로,72500000,0,0,0,0,CJ ENM,8050000,4,864000,260725519,6,3218410,5
손태진,"성인가요/트로트, 클래식, 크로스오버",남 ,솔로,15000000,0,0,0,0,미스틱스토리,105000,4,37200,4981405,0,15139,2
잠골버스,"발라드, 록/메탈, 인디음악",남,그룹,6500000,0,0,0,0,레이벡스,3242,0,0,0,0,0,1
KCM ,"발라드, 국내드라마, 댄스",남,솔로,25000000,0,0,0,0,A2Z엔터테인먼트,53000,5,191000,99709780,1,25130,3
임세준,"댄스, R&B/Soul, 록/메탈",남,솔로,25000000,0,0,0,0,플레이엠 엔터테인먼트,402000,0,4720,371208,0,8115,3
창모,"랩/힙합, 국내드라마, 댄스",남,솔로,33500000,1,0,0,0,앰비션뮤직,694000,9,120000,529436421,3,5072002,4
규현,"발라드, 국내드라마, 댄스",남,솔로,72500000,0,0,0,0,안테나,2110000,2,762000,284030570,0,495438,5
양다일 ,"발라드, R&B/Soul, 국내드라마",남,솔로,15000000,1,0,0,0,브랜뉴뮤직,115000,1,44100,275079569,0,12026,2
로이킴,"발라드, 포크/블루스, 국내드라마",남,솔로,25000000,1,0,0,0,CJ ENM,486000,9,349000,507374962,4,556549,3
원슈타인,"랩/힙합, R&B/Soul, 국내드라마",남,솔로,25000000,0,0,0,0,STANDARD FRAINDS,234000,1,140000,96375518,0,57650,3
언에듀케이티드 키드,랩/힙합,남,솔로,14400000,0,0,0,0,주식회사 영앤리치레코즈,125000,1,0,0,0,0,2
하이키(H1-KEY),"댄스, R&B/Soul, 국내드라마",여,그룹,20500000,0,0,0,0,주식회사 그랜드라인그룹,294000,2,397000,223125873,28,82240,3
페퍼톤스,"록/메탈, 인디음악, 국내드라마",남,그룹,16500000,0,0,0,0,안테나,25000,1,0,0,0,0,2
